Index,Population,Cluster
1,ACB,3
2,ASW,3
3,BEB,1
4,CDX,2
5,CHB,2
6,CHS,2
7,CLM,0
8,ESN,3
9,FIN,4
10,GBR,4
11,GIH,1
12,GWD,3
13,IBS,4
14,ITU,1
15,JPT,2
16,KHV,2
17,LWK,3
18,MSL,3
19,MXL,0
20,PEL,0
21,PJL,1
22,PUR,0
23,STU,1
24,TSI,4
25,YRI,3
